musteri_id,yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
1143,56,99025,59,4,Ankara,Silver,0
1144,27,62540,12,0,Antalya,Silver,0
1145,21,83015,23,9,İstanbul,Gold,1
1146,61,102584,16,0,Bursa,Silver,0
1147,19,127911,32,1,Bursa,,0
1148,33,65279,28,3,Bursa,,0
1149,22,103998,20,2,Ankara,Silver,0
1150,22,129928,6,9,Ankara,Silver,1
1151,54,138036,2,-3,İzmir,Standart,0
1152,36,96550,14,1,İstanbul,Silver,0
1153,32,96495,49,8,Antalya,Standart,1
1154,46,97201,24,4,İzmir,Silver,0
1155,35,,29,1,Antalya,Silver,0
1156,41,78471,7,0,Antalya,Platinum,0
1157,64,93473,6,5,İstanbul,Standart,1
1158,34,28943,4,5,İstanbul,Platinum,1
1159,24,114792,42,1,İzmir,Silver,0
1160,25,31334,13,9,Antalya,Platinum,1
1161,38,136960,27,4,İzmir,Platinum,0
1162,28,59892,33,6,,Platinum,1
1163,60,86533,24,0,İzmir,Standart,0
1164,50,71035,11,5,İzmir,Silver,1
1165,61,68231,36,,İzmir,Platinum,0
1166,57,71063,57,1,Ankara,Gold,0
1167,63,88487,41,0,İzmir,Silver,0
1168,,55404,48,9,İzmir,Silver,1
1169,40,68461,34,5,Bursa,Standart,0
1170,39,100629,1,4,Ankara,Gold,1
1171,44,59235,32,6,İzmir,Gold,0
1172,30,81372,4,3,Antalya,Silver,0
1173,20,45999,25,4,İzmir,Standart,1
1174,58,128336,55,4,Ankara,Platinum,0
1175,35,,39,3,İzmir,Standart,1
1176,19,77081,30,7,Bursa,,1
1177,43,,32,8,İstanbul,Platinum,1
1178,20,38142,25,9,Antalya,Gold,1
1179,34,133558,58,,İstanbul,Gold,1
1180,20,83929,58,7,Antalya,Standart,1
1011,58,133555,20,0,Ankara,Platinum,0
1023,62,54306,45,9,Ankara,Standart,1
1056,51,41828,7,8,Bursa,Standart,1
1101,52,25697,25,7,,Platinum,1
1116,48,129352,57,6,İzmir,Standart,1
1186,60,106937,45,3,İstanbul,Platinum,1
1187,40,105876,48,9,Ankara,Platinum,0
1188,38,58440,56,0,Ankara,Gold,0
1189,43,93819,3,8,İzmir,Standart,0
1190,51,78626,18,5,İstanbul,Gold,1
1191,64,38153,51,1,Antalya,Standart,0
1192,25,61583,23,6,Ankara,Standart,0
1193,26,142114,31,1,,Platinum,1
1194,34,35139,37,5,İstanbul,Standart,0
1195,47,53079,23,5,İzmir,Standart,0
1196,18,54709,34,4,İzmir,Silver,1
1197,62,114798,52,5,İstanbul,Gold,0
1198,,32439,41,1,Bursa,Gold,0
1199,57,,39,9,Ankara,Silver,1
1200,34,33594,29,4,Bursa,Silver,1
